Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382031365243500,1730382030035041476,1330202024
1730382031375481300,1730382030045154478,1330326822
1730382031385644600,1730382030055264729,1330379871
1730382031395700100,1730382030065374889,1330325211
1730382031405959500,1730382030075485720,1330473780
1730382031416075300,1730382030085595690,1330479610
1730382031426121700,1730382030095706215,1330415485
1730382031435995000,1730382030105819999,1330175001
1730382031446412600,1730382030115940471,1330472129
1730382031456424100,1730382030126050452,1330373648
1730382031466144000,1730382030136161925,1329982075
1730382031476201000,1730382030146278329,1329922671
1730382031486194000,1730382030156389856,1329804144
1730382031497191600,1730382030166501345,1330690255
1730382031507079700,1730382030176612479,1330467221
1730382031517228600,1730382030186722615,1330505985
1730382031527252200,1730382030196834100,1330418100
1730382031537420400,1730382030206945401,1330474999
1730382031546916200,1730382030217055459,1329860741
1730382031557600100,1730382030227167670,1330432430
1730382031568253700,1730382030237278988,1330974712
1730382031577868000,1730382030247391309,1330476691
1730382031587787200,1730382030257501388,1330285812
1730382031597756100,1730382030267621031,1330135069
1730382031607570100,1730382030277732989,1329837111
1730382031617740100,1730382030287847602,1329892498
1730382031627756700,1730382030297958434,1329798266
1730382031638270500,1730382030308068968,1330201532
1730382031647920000,1730382030318179690,1329740310
1730382031658894000,1730382030328288088,1330605912
1730382031668940300,1730382030338399406,1330540894
1730382031679075400,1730382030348510057,1330565343
1730382031689313900,1730382030358628294,1330685606
1730382031698758600,1730382030368771803,1329986797
1730382031708948200,1730382030378883072,1330065128
1730382031719132300,1730382030388994520,1330137780
1730382031729200000,1730382030399104827,1330095173
1730382031739152100,1730382030409215042,1329937058
1730382031749486000,1730382030419325610,1330160390
1730382031759834900,1730382030429435277,1330399623
1730382031769447400,1730382030439560342,1329887058
1730382031780122200,1730382030449720598,1330401602
1730382031789723600,1730382030459833637,1329889963
1730382031800584500,1730382030469945259,1330639241
1730382031810625700,1730382030480061018,1330564682
1730382031819939800,1730382030490177882,1329761918
1730382031830695400,1730382030500283619,1330411781
1730382031840528700,1730382030510394138,1330134562
1730382031851126500,1730382030520505126,1330621374
1730382031861202900,1730382030530624812,1330578088
1730382031871046800,1730382030540735438,1330311362
1730382031881056500,1730382030550846082,1330210418
1730382031891251300,1730382030560956737,1330294563
1730382031901295500,1730382030571067059,1330228441
1730382031911496400,1730382030581177767,1330318633
1730382031920941000,1730382030591287727,1329653273
1730382031931688000,1730382030601397425,1330290575
1730382031941811100,1730382030611508041,1330303059
1730382031951692600,1730382030621617790,1330074810
1730382031962000300,1730382030631732486,1330267814
1730382031972411600,1730382030641854651,1330556949
1730382031981988500,1730382030651966181,1330022319
1730382031992411700,1730382030662077865,1330333835
1730382032002023500,1730382030672189463,1329834037
1730382032012633600,1730382030682300642,1330332958
1730382032022768200,1730382030692411257,1330356943
1730382032032675100,1730382030702521582,1330153518
1730382032042611600,1730382030712632038,1329979562
1730382032052993400,1730382030722741820,1330251580
1730382032062989200,1730382030732851805,1330137395
1730382032072986000,1730382030742961666,1330024334
1730382032083004900,1730382030753072151,1329932749
1730382032092726700,1730382030763182577,1329544123
1730382032103310500,1730382030773293208,1330017292
1730382032113664200,1730382030783402867,1330261333
1730382032124215100,1730382030793512670,1330702430
1730382032134244100,1730382030803623858,1330620242
1730382032144230800,1730382030813734685,1330496115
1730382032154352200,1730382030823845115,1330507085
1730382032164349200,1730382030833958236,1330390964
1730382032174530500,1730382030844080078,1330450422
1730382032184685700,1730382030854190638,1330495062
1730382032194272000,1730382030864285177,1329986823
1730382032204282700,1730382030874395237,1329887463
1730382032214304800,1730382030884505421,1329799379
1730382032224330000,1730382030894615851,1329714149
1730382032234919800,1730382030904726235,1330193565
1730382032244921600,1730382030914836412,1330085188
1730382032255529700,1730382030924946974,1330582726
1730382032265104900,1730382030935067053,1330037847
1730382032275101400,1730382030945179335,1329922065
1730382032284931800,1730382030955290076,1329641724
1730382032295686900,1730382030965401120,1330285780
1730382032305289800,1730382030975511086,1329778714
1730382032315593400,1730382030985621967,1329971433
1730382032325955000,1730382030995733257,1330221743
1730382032336026500,1730382031005843175,1330183325
1730382032345487100,1730382031015955975,1329531125
1730382032356491200,1730382031026067762,1330423438
1730382032366552600,1730382031036182186,1330370414
1730382032376464800,1730382031046303832,1330160968
1730382032386835100,1730382031056414673,1330420427
1730382032396832100,1730382031066526068,1330306032
1730382032406288600,1730382031076637355,1329651245
1730382032416289400,1730382031086748310,1329541090
1730382032427244800,1730382031096858983,1330385817
1730382032437146400,1730382031106972855,1330173545
1730382032447142600,1730382031117089407,1330053193
1730382032457408100,1730382031127201558,1330206542
1730382032467209800,1730382031137322586,1329887214
1730382032477507400,1730382031147433089,1330074311
1730382032487659100,1730382031157544162,1330114938
1730382032498014700,1730382031167656197,1330358503
1730382032507838100,1730382031177766354,1330071746
1730382032518154600,1730382031187877022,1330277578
1730382032528144100,1730382031197989049,1330155051
1730382032538131000,1730382031208100720,1330030280
1730382032548162900,1730382031218210964,1329951936
1730382032558349600,1730382031228285804,1330063796
1730382032568455100,1730382031238401911,1330053189
1730382032578671300,1730382031248525050,1330146250
1730382032588859600,1730382031258642190,1330217410
1730382032598857400,1730382031268756020,1330101380
1730382032608984000,1730382031278867636,1330116364
1730382032618981400,1730382031288981062,1330000338
1730382032628934600,1730382031299092304,1329842296
1730382032639659300,1730382031309202768,1330456532
1730382032649062100,1730382031319313255,1329748845
1730382032659058700,1730382031329423718,1329634982
1730382032669454900,1730382031339534216,1329920684
1730382032680185600,1730382031349684114,1330501486
1730382032690215200,1730382031359959088,1330256112
1730382032700214100,1730382031370223937,1329990163
1730382032710837800,1730382031380481220,1330356580
1730382032720839400,1730382031390664873,1330174527
1730382032730823400,1730382031400783977,1330039423
1730382032741271000,1730382031410899745,1330371255
1730382032751270100,1730382031421012677,1330257423
1730382032761075000,1730382031431135744,1329939256
1730382032771311300,1730382031441295547,1330015753
1730382032781388300,1730382031451461127,1329927173
1730382032791026000,1730382031461576383,1329449617
1730382032801170700,1730382031471690397,1329480303
1730382032811595800,1730382031481806942,1329788858
1730382032821730000,1730382031491929098,1329800902
1730382032831678300,1730382031502042173,1329636127
1730382032841722100,1730382031512155353,1329566747
1730382032852067600,1730382031522268205,1329799395
1730382032862064100,1730382031532380360,1329683740
1730382032871892300,1730382031542491333,1329400967
1730382032882367600,1730382031552604811,1329762789
1730382032892751300,1730382031562716055,1330035245
1730382032902183200,1730382031572827952,1329355248
1730382032913081600,1730382031582941775,1330139825
1730382032923298200,1730382031593053709,1330244491
1730382032933310400,1730382031603165002,1330145398
1730382032943028900,1730382031613277133,1329751767
1730382032953231100,1730382031623389694,1329841406
1730382032963369200,1730382031633511626,1329857574
1730382032973433600,1730382031643642376,1329791224
1730382032983619200,1730382031653762609,1329856591
1730382032993691000,1730382031663875052,1329815948
1730382033004132300,1730382031673986727,1330145573
1730382033014133000,1730382031684098679,1330034321
1730382033023885900,1730382031694209748,1329676152
1730382033034519000,1730382031704285589,1330233411
1730382033044523600,1730382031714401397,1330122203
1730382033054681300,1730382031724522185,1330159115
1730382033064311800,1730382031734634153,1329677647
1730382033074996600,1730382031744745091,1330251509
1730382033084701200,1730382031754857702,1329843498
1730382033095230400,1730382031764970382,1330260018
1730382033105156900,1730382031775081148,1330075752
1730382033115119700,1730382031785192763,1329926937
1730382033125393000,1730382031795304367,1330088633
1730382033135660000,1730382031805415034,1330244966
1730382033145679200,1730382031815525479,1330153721
1730382033155734900,1730382031825636191,1330098709
1730382033165760900,1730382031835750552,1330010348
